Reading Test Driver data...done
Reading query mix file: queries\explore\querymix.txt
Reading query ignore file: queries\explore\ignoreQueries.txt

Starting test...

Generating queries...done
Clients created.
Thread 1: query mix -49: 0.00ms, total: 4.45ms
Thread 3: query mix -50: 0.00ms, total: 4.67ms
Thread 4: query mix -48: 0.00ms, total: 4.79ms
Thread 2: query mix -47: 0.00ms, total: 4.28ms
Thread 3: query mix -45: 0.00ms, total: 0.07ms
Thread 4: query mix -44: 0.00ms, total: 0.07ms
Thread 1: query mix -46: 0.00ms, total: 0.08ms
Thread 3: query mix -42: 0.00ms, total: 0.07ms
Thread 4: query mix -41: 0.00ms, total: 0.07ms
Thread 2: query mix -43: 0.00ms, total: 0.07ms
Thread 3: query mix -39: 0.00ms, total: 0.07ms
Thread 4: query mix -38: 0.00ms, total: 0.07ms
Thread 3: query mix -36: 0.00ms, total: 0.07ms
Thread 4: query mix -35: 0.00ms, total: 0.06ms
Thread 1: query mix -40: 0.00ms, total: 0.07ms
Thread 3: query mix -34: 0.00ms, total: 0.07ms
Thread 2: query mix -37: 0.00ms, total: 0.14ms
Thread 1: query mix -32: 0.00ms, total: 0.07ms
Thread 4: query mix -33: 0.00ms, total: 0.06ms
Thread 1: query mix -29: 0.00ms, total: 0.07ms
Thread 4: query mix -28: 0.00ms, total: 0.07ms
Thread 3: query mix -31: 0.00ms, total: 0.06ms
Thread 1: query mix -27: 0.00ms, total: 0.07ms
Thread 2: query mix -30: 0.00ms, total: 0.14ms
Thread 3: query mix -25: 0.00ms, total: 0.08ms
Thread 4: query mix -26: 0.00ms, total: 0.07ms
Thread 2: query mix -23: 0.00ms, total: 0.07ms
Thread 1: query mix -24: 0.00ms, total: 0.07ms
Thread 4: query mix -21: 0.00ms, total: 0.08ms
Thread 3: query mix -22: 0.00ms, total: 0.06ms
Thread 1: query mix -19: 0.00ms, total: 0.08ms
Thread 2: query mix -20: 0.00ms, total: 0.06ms
Thread 3: query mix -17: 0.00ms, total: 0.07ms
Thread 4: query mix -18: 0.00ms, total: 0.08ms
Thread 2: query mix -15: 0.00ms, total: 0.08ms
Thread 1: query mix -16: 0.00ms, total: 0.07ms
Thread 4: query mix -13: 0.00ms, total: 0.07ms
Thread 3: query mix -14: 0.00ms, total: 0.07ms
Thread 1: query mix -11: 0.00ms, total: 0.08ms
Thread 2: query mix -12: 0.00ms, total: 0.07ms
Thread 3: query mix -9: 0.00ms, total: 0.07ms
Thread 4: query mix -10: 0.00ms, total: 0.07ms
Thread 2: query mix -7: 0.00ms, total: 0.08ms
Thread 1: query mix -8: 0.00ms, total: 0.07ms
Thread 4: query mix -5: 0.00ms, total: 0.07ms
Thread 3: query mix -6: 0.00ms, total: 0.07ms
Thread 1: query mix -3: 0.00ms, total: 0.08ms
Thread 2: query mix -4: 0.00ms, total: 0.07ms
Thread 4: query mix -2: 0.00ms, total: 0.07ms
